"sent_no","sent_raw","syuzhet","bing","afinn","nrc"
357,"Anthropologists did not pass judgement.",0,0,0,0
358,"They observed and reported on human variety.",0.25,1,0,0
359,"They celebrated difference.",1,1,3,1
360,"What was wicked in Warwickshire was unremarkable in Papua New Guinea.",0.05,-1,-2,-1
361,"Locally, who was to say what was good or bad?",0,0,0,0
362,"Certainly not a colonial power.",0,0,0,0
363,"I derived from my studies some unfortunate conclusions about ethics which led me a few years later to the dock in a county court, accused of conspiring with others to mislead the tax authorities on a grand scale.",-0.7,0,-2,-3
364,"I did not attempt to persuade His Honour that far from his court might be a coconut beach where such conspiracy was respected.",0.5,-1,1,0
365,"Instead, I came to my senses just before I addressed the judge.",0,0,0,0
366,"Morals were real, they were true, good and bad inherited in the nature of things.",1.55,0,2,3
367,"Our actions must be judged on their terms.",0,0,0,0
368,"This was what I would assume before anthropology came along.",0,0,0,0
369,"In quavering, hesitant tones I apologised abjectly to the court and dodged a custodial sentence.",-0.6,-1,-5,-1
370,"When I entered the kitchen in the morning, later than usual, Adam's eyes were open.",0.4,0,0,1
371,"They were pale blue, flecked with minuscule vertical rods of black.",-0.85,-1,0,-1
372,"The eyelashes were long and thick, like a child's.",0.5,1,2,0
373,"But his blink mechanism had not yet kicked in.",0,0,0,0
374,"It was set at irregular intervals and adjusted for mood and gestures, and primed to react to the actions and speech of others.",-0.5,-1,0,0
375,"Reluctantly, I would read the handbook into the night.",-0.5,-1,0,0
376,"He was equipped with a blink reflex to protect his eyes from flying objects.",0.85,1,1,2
377,"At present, his gaze was empty of meaning or intent and therefore unaffecting, as lifeless as the stare of a shop-window mannequin.",-0.75,-1,-2,0
378,"So far, he was showing none of the fractional movements that warmly typify the human head.",1,1,0,0
379,"Elsewhere, no body language at all.",0,0,-1,0
380,"When I felt for the pulse in his wrist, I found nothing--a heartbeat without a pulse.",0.6,0,0,1
381,"His arm was heavy to lift, resistant at the elbow joint, as though rigor mortis was about to set in.",-0.5,0,0,-2
382,"I turned my back on him and made coffee.",0,0,0,0
383,"Miranda was on my mind.",0,0,0,0
384,"Everything had changed.",0,0,0,0
385,"Nothing had changed.",0,0,0,0
386,"During my near-sleepless night, I would remember that she was visiting her father.",0,0,0,0
387,"She would have gone straight to Salisbury from her seminar.",0.6,0,1,0
388,"I saw her on her train from Waterloo, sitting with an unread book on her lap, staring at the rushing landscape, the dip and rise of telephone lines, not thinking of me.",-0.25,0,1,-1
389,"Or thinking only of me.",0,0,0,0
390,"Or recalling a boy at her seminar who'd tried to out-stare her.",0.25,0,0,-1
391,"I watched the TV news on my phone.",0,0,0,0
392,"A brilliant mosaic in sound and sparkling seaside light.",1.5,2,7,1
393,"Portsmouth.",0,0,0,0
394,"The Task Force ready to depart.",-0.0499999999999999,1,0,0
395,"Most of the country was in a dream-theatre, in historical dress.",0,0,1,0
396,"Late medieval.",-0.25,0,0,-1
397,"Seventeenth century.",0,0,0,0
398,"Early nineteenth.",0,0,0,0
399,"Ruffs, hose, hooped skirts, powdered wigs, eyepatch, wooden legs.",0,0,0,0
400,"Accuracy was unpatriotic.",0,0,0,0
401,"Historically, we were special and the fleet was bound for success.",1.05,1,2,2
402,"TV and press encouraged a vague collective memory of enemies defeated-- the Spanish, the Dutch, the Germans twice this century, the French from Agincourt to Waterloo.",-1.7,-1,-4,-2
403,"A fly-past by fighter jets.",0,0,0,0
404,"A young man in combat gear, fresh out of Sandhurst, narrowed his eyes as he told an interviewer of the difficulties ahead.",0.7,0,0,1
405,"A superior officer spoke of his men's unshakeable resolve.",1.55,1,4,1
406,"I was moved, even as I disliked it.",-0.75,-1,-2,-1
407,"When a massed band of Highland pipers marched towards their ship's gangplank, my spirits swelled.",-0.25,-1,0,1
408,"Then back to the studio for charts, arrows, logistics, objectives, sane voices in agreement.",1.1,1,1,1
409,"For diplomatic moves.",0.5,1,0,1
410,"For the prime minister in her trim blue suit on the steps of Downing Street.",0.1,0,0,1
411,"I warmed to it, even though I often declared myself against it all.",0,0,0,0
412,"I loved my country.",0.5,1,3,0
413,"What a venture, what wild courage.",0.5,0,2,0
414,"Eight thousand miles.",0,0,0,0
415,"What decent people putting their lives at risk.",-0.25,0,-2,0
416,"I took a second coffee next door, made the bed to give the room the appearance of a workplace, and sat down to reflect a while on the state of the world's markets.",0.1,0,0,0
417,"The prospect of war had sent the FTSE down a further one per cent.",0.1,0,-1,0
418,"Still in a patriotic mood, I assumed an Argie defeat and took a position on a toy and novelty group that made Union Jacks on sticks for people to wave.",0.3,3,-2,-1
419,"I also invested in two champagne importers, and bet on a big recovery generally.",0.5,1,1,1
420,"Merchant-navy ships had been requisitioned to transport troops to the South Atlantic.",0,0,0,0
421,"A friend who worked in asset management in the City told me that his company was predicting that some would be sunk.",1.45,0,3,1
422,"It made sense to short the major players in the insurance markets and invest in South Korean shipbuilders.",0.5,0,0,2
423,"I was in no mood for such cynicism.",-0.5,-1,-3,0
424,"My desktop computer, bought second-hand from a Brixton junk shop, dated from the mid-sixties and was slow.",-1.35,-2,0,-1
425,"It took me an hour to arrange the position on the flag-maker.",0,0,0,0
426,"I would have been quicker if Iâ€™d had my thoughts under control.",0.4,1,0,0
427,"When I was not thinking about Miranda and listening out for her footsteps in the flat above me, I was thinking about Adam and whether I should sell him off or start making decisions about his personality.",0,0,0,0
428,"I sold sterling and thought more about Adam.",0,0,0,0
429,"I bought gold and thought again about Miranda.",0.5,1,2,1
430,"I sat on the lavatory and wondered about Swiss francs.",0,0,0,0
431,"Over a third coffee I asked myself what else a victorious nation might spend its money on.",1.1,1,0,2
432,"Beef.",0,0,0,0
433,"Pubs.",0,0,0,0
434,"I V sets.",0,0,0,0
435,"I took positions on all three and felt virtuous, a part of the war effort.",0.25,1,0,1
436,"Soon it was time for lunch.",0,0,0,0
437,"I sat facing Adam again while I ate a cheese and pickle sandwich.",0,0,0,-1
438,"Any further signs of life?",0,0,0,0
439,"Not at first glance.",0,0,0,0
440,"His gaze, directed over my left shoulder, was still dead.",-1,-1,-3,1
441,"No movement.",0,0,-1,0
442,"But five minutes later I glanced up by chance and was actually looking at him when he began to breathe.",0.25,0,2,0
443,"I heard first a series of rapid clicks, then a mosquito-like whine as his lips parted.",-0.25,1,2,-2
444,"For half a minute nothing happened, then his chin trembled and he made an authentic gulping sound as he snatched his first mouthful of air.",-0.3,1,0,1
445,"He did not need oxygen, of course.",0,0,0,0
446,"That metabolic necessity was years away.",0,0,0,0
447,"His first exhalation was so long in coming that I stopped eating and tensely waited.",-0.4,0,-1,0
448,"It came at last--silently, through his nostrils.",0,0,0,0
449,"Soon his breathing assumed a steady rhythm, his chest expanded and contracted appropriately.",0.1,1,2,0
450,"I was spooked.",0,0,0,0
451,"With his lifeless eyes, Adam had the appearance of a breathing corpse.",-1.5,-1,-2,-2
452,"How much of life we ascribe to the eyes.",0,0,0,0
453,"If only his were closed, I thought, he would at least have the appearance of a man in a trance.",0,0,0,-1
454,"I left my sandwich and went to stand by him and, out of curiosity, put my hand close to his mouth.",0.5,0,0,1
455,"His breath was moist and warm.",0.5,1,1,0
456,"Clever.",0.75,1,2,1
457,"In the user's manual I would read that he urinated once a day in the late morning.",-0.25,0,0,-1
458,"Also clever.",0.75,1,2,1
459,"As I went to close his right eye, my forefinger brushed against his eyebrow.",0.8,1,0,0
460,"He flinched and violently jerked his head away from me.",-1.55,-1,-3,-1
461,"Startled, I moved back.",-0.6,0,-2,0
462,"Then I waited.",0,0,0,0
463,"For twenty seconds or more nothing happened, then, with a smooth, soundless movement, infinitesimally slow, the tilt of his shoulders, the angle of his head moved towards their former positions.",0.35,0,0,0
464,"His rate of breathing was undisturbed.",0,0,0,0
465,"Mine and my pulse had accelerated.",0,0,0,0
466,"I was standing several feet away, fascinated by the way he settled back, like a balloon gently deflating.",1.1,1,5,1
467,"I decided against closing his eyes.",0,0,0,0
468,"While I was waiting for something more from him, I heard Miranda moving around in the flat upstairs.",0,0,0,0
469,"Back from Salisbury.",0,0,0,0
470,"Wandering in and out of her bedroom.",0,0,0,0
471,"Once again I felt the troubled thrill of undeclared love, and that was when I had the first stirrings of an idea.",0.5,1,1,2
472,"That afternoon I should have been making and losing money at my computer.",-0.15,-1,-3,0
473,"Instead, I watched from the great height of a helicopter as the leading ships of the Task Force rounded Portland Bill and filed by Chesil Beach.",-0.1,2,5,0
474,"The very place names deserved a respectful salute.",1.25,2,2,3
475,"How brilliant.",1,1,4,1
476,"Onwards!",0,0,0,0
477,"I kept thinking.",0,0,0,0
478,"And then, Go back!",0,0,0,0
479,"Soon the fleet came along the Jurassic coast, where herds of dinosaurs once grazed on giant ferns.",0.35,0,0,2
480,"Suddenly we were down among the people of Lyme Regis gathering on the Cobb.",0,0,0,0
481,"Some had binoculars, many had the very flags I had in mind, plastic on a wooden stick.",0,0,0,0
482,"A news team might have handed them around.",0,0,0,0
483,"Vox pops.",0,0,0,0
484,"Gentle local voices of hard-working women, tight with emotion.",2,0,-1,1
485,"Tough old coves who'd fought in Crete and Normandy, nodding to themselves, giving nothing away.",0.5,1,0,0
486,"Oh, how I wished I too believed.",0,0,0,0
487,"But I could!",0,0,0,0
488,"A long lens mounted somewhere on the Lizard showed the tiny receding blobs of ships heading bravely out onto the big swell of the open sea to the sound of husky Rod Stewart, while I tried not to be tearful.",1.25,0,1,2
489,"What turmoil on a weekday afternoon.",-0.5,-1,0,-1
490,"A new kind of being at my dining table, the woman I newly loved six feet above my head, and the country at old-fashioned war.",1.3,1,3,0
491,"But I was tolerably disciplined and had promised myself seven hours every day.",0.25,1,1,0
492,"I turned off the IV and went to my screen.",0,0,0,0
493,"Waiting for me was the email from Miranda that Iâ€™d hoped for.",0,0,0,0
494,"I knew I would never get rich.",0.5,1,2,0
495,"The sums I moved around, safely spread across scores of opportunities, were small.",1.5,1,3,-1
496,"Over the month I had done well out of solid-state batteries but had lost almost as much to rare earth element futures--a foolish leap into the known.",-0.7,0,-3,-1
497,"But I was keeping myself out of a career, an office job.",0,0,0,2
498,"This was my least bad option in the pursuit of freedom.",0,0,-1,1
499,"I worked on through the afternoon, resisting the temptation to look in on Adam, even though I guessed he would be fully charged by now.",-0.45,0,-3,-1
